eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
64,6/2/2020,19,1,0,1b,0,0,0,0,0,0,0,0,38.8
808,6/2/2020,19,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,6/2/2020,19,3,1,3a,0,1,0,0,0,0,1,1,39.7
16,6/2/2020,19,3,1,3a,0,0,0,1,0,1,2,2,39.2
35,6/2/2020,19,3,1,3a,0,2,0,1,0,0,3,3,40.5
51,6/2/2020,19,3,1,3a,0,0,0,1,0,0,1,1,39.4
26,6/2/2020,19,5,1,5a,0,0,0,0,0,0,0,0,39
28,6/2/2020,19,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,6/2/2020,19,5,1,5a,0,0,0,0,0,0,0,0,38.9
827,6/2/2020,19,5,1,5a,0,0,0,1,0,0,1,1,38.5
11,7/2/2020,20,1,0,1b,0,0,0,0,0,0,0,0,38.8
13,7/2/2020,20,1,0,1b,0,0,0,0,0,0,0,0,39
14,7/2/2020,20,1,0,1b,0,0,0,0,0,0,0,0,38.8
58,7/2/2020,20,1,0,1b,0,0,0,0,0,0,0,0,38.8
64,7/2/2020,20,1,0,1b,0,0,0,0,0,0,0,0,38.9
808,7/2/2020,20,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,7/2/2020,20,3,1,3a,0,0,0,0,0,0,0,0,38.8
16,7/2/2020,20,3,1,3a,0,0,0,0,0,0,0,0,38.7
35,7/2/2020,20,3,1,3a,0,1,0,0,0,0,1,1,39.9
51,7/2/2020,20,3,1,3a,0,0,0,1,0,0,1,1,39.1
26,7/2/2020,20,5,1,5a,0,0,0,0,0,0,0,0,38.7
28,7/2/2020,20,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,7/2/2020,20,5,1,5a,0,0,0,0,0,0,0,0,38.1
827,7/2/2020,20,5,1,5a,0,0,0,1,0,0,1,1,38.6
11,8/2/2020,21,1,0,1b,0,0,0,0,0,0,0,0,38.2
13,8/2/2020,21,1,0,1b,0,0,0,0,0,0,0,0,39.3
14,8/2/2020,21,1,0,1b,0,0,0,0,0,0,0,0,38.5
58,8/2/2020,21,1,0,1b,0,0,0,0,0,0,0,0,38.7
64,8/2/2020,21,1,0,1b,0,2,0,0,0,0,2,2,40.2
808,8/2/2020,21,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,8/2/2020,21,3,1,3a,0,0,0,0,0,0,0,0,39.1
