eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
244,Caprine,13/3/2021,14,6,0,6b,0.096,1.87,Neg,0.125,4.88,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,13/3/2021,14,6,0,6b,0.085,0.73,Neg,0.127,5.08,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,16/3/2021,17,1,1,1a,0.103,3.14,Neg,0.637,54.68,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,16/3/2021,17,1,1,1a,0.085,1.4,Neg,0.962,86.05,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,16/3/2021,17,1,1,1a,0.092,2.08,Neg,0.082,1.11,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,16/3/2021,17,1,1,1a,0.184,10.96,Neg,0.057,-1.3,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,16/3/2021,17,1,0,1b,0.071,0.05,Neg,0.07,-0.05,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,16/3/2021,17,1,0,1b,0.146,7.29,Neg,0.172,9.8,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,16/3/2021,17,1,0,1b,0.072,0.14,Neg,0.099,2.75,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,16/3/2021,17,1,0,1b,0.072,0.14,Neg,0.072,0.14,Neg,,,,,,,,,,,,,,,,,,,,
